Episode|Intro|Proverb
Episode 131:Brought to You by Kellogg's|Today as all days, as every day of your life, has been brought to you by Kellogg's. Are you worthy? Welcome to Night Vale.|keep your eye on the ball . keep your lungs on the court . leave your stomach in the lock er room .
Episode 132:Bedtime Story|This is a bedtime story my mother used to tell me. Welcome to Night Vale.|live every moment as if it we are just one of the two and a half billion moments you have in your life . seriously , pace yourself .
Episode 133: Are You Sure? (Earl Version)|Is this the first time you've heard me say this? Are you sure? Welcome to Night Vale.|this one weird trick does not seem to have any real purpose . but maybe give it a try anyway .
Episode 133:Are You Sure? (Leann Version)|Is this the first time you've heard me say this? Are you sure? Welcome to Night Vale.|true change starts with the person in the mirror . he is standing far behind you , barely visible . he is really going to change things .
Episode 133: Are You Sure? (Telly Version)|Is this the first time you've heard me say this? Are you sure? Welcome to Night Vale.|how do i love thee ? let me tally up all the points I have assigned to your personal value with respect to my needs .
Episode 134: Fall Football Preview|"There is no I in ""team"", this has been a partial list of letters not found in the word ""team"". Welcome to Night Vale."|dress for the job you want ( sports team moscow ) , not the job you have ( customer service manager ) .
Episode 135: The Mudstone Abyss Part 1|The phrase beautiful smile is redundant. Welcome to Desert Bluffs.|on second thought , a million dollars is cool . finger guns to you , million dollars !
Episode 136: The Mudstone Abyss Part 2|Age is just a number that counts quickly up to an ending point. Welcome to Desert Bluffs.|girl , did you fall from heaven ? 'because there has a giant crater where you landed and radiation levels are spiking .
Episode 137: The Mudstone Abyss Part 3|If this had been an actual emergency this signal would have be followed by screaming and chaos. Welcome to Desert Bluffs.|kangaroos are deer , abbreviated .
Episode 138: Harvest Time|Everything old will be new again, except for when it's so old it disintegrates at your touch and scatters into oblivion. Welcome to Night Vale.|"if you circle the letters in the bible just right , you get the phrase "" lightly dressed lake . "" still do not know what that means , but it is direct from god ."
Episode 139: The Birthday of Lee Marvin|To err is human, to forgive is also human, the possibilities of human action are multitude. Welcome to Night Vale.|"every example of irony in the song "" ironic "" is completely correct , because that song single-handedly changed the common parlance definition of irony ."
Episode 140: A Blood Stone Carol|It's winter and the weather is freezing, quite appalling. You stay in, aloof, but foot steps yes that's someone creeping, crying, calling a stranger up upon your roof. Welcome to Night Vale.|the universe contains , among other things , black holes , vast clouds of gas and light , a planet made of diamond , and your tiny body .
Episode 141: Save Dark Owl Records|The prison of your own mind is undergoing budget cuts. Welcome to Night Vale.|"a good way to tell if an artistic idea is worthwhile is to remember that the most successful video game of all time is "" a plumber steps on turtles . "" so , who knows ."
Episode 142: UFO Sightings Report|As above, so below, as for the middle, well... who knows? Welcome to Night Vale.|in europe , instead of cell phone , they say mobile . instead of arugula , they say rocket . instead of letting you die because of lack of health insurance , they take care of you when you are sick . it is a weird place .
Episode 143: Pioneer Days|We are thirsty, we cannot see, we don't know what time it is, we are nearly here. Welcome to Night Vale.|the leading because of death is having a body .
Episode 144: The Dreamer|It's turtles all the way down, but man, it's kittens all the way up. Welcome to Night Vale.|"talk to your disk about the birds and the bees , "" never look directly at birds "" you should say to them , "" and bees ... do not get me started . """
Episode 145: The Veterans|Fake it 'til you make it, mic it 'til you like it, book it 'til you look it. Welcome to Night Vale.|develop your chi . really work that chi hard . get six-pack chi . totally sole with chi . roll up those sleeves and welcome people to the chi show .
Episode 146: The Birthday of Lee Marvin|Every Evenings disappointment is the next evenings hope, I am Lee Marvin. Welcome to my birthday.|a group of chihuahuas is called a committee , a group of labradors is called a jungle , a group of golden retrievers is called a butter dish .
